Country,BR,Weighted,Count
Britain,1.0,-0.10119562822864538,175277
Britain,1.3,-0.1528345864534276,213369
Britain,1.7,0.025846598326648717,262641
Britain,2.0,-0.18199358568794505,305317
Britain,2.3,-0.059081150047147264,353012
Britain,2.7,-0.015827991222984148,450327
Britain,3.0,0.00792559505098048,487360
Britain,3.3,-0.0009898804849141829,688208
Britain,3.7,-0.16520611657326875,895210
Britain,4.0,-0.0012296416704472742,906665
Britain,4.3,0.08264123607664929,943453
Britain,4.7,0.028135938351649008,988273
Britain,5.0,-0.013365803092182786,670876
Britain,5.3,0.004284815885349056,787680
Britain,5.7,-0.002339473146456018,855129
Britain,6.0,0.011617815857752746,742966
Britain,6.3,-0.008519594514796478,862432
Britain,6.7,0.013926963812807997,902415
Britain,7.0,-0.025090889027427152,772015
Britain,7.3,-0.006975982697859472,878817
Britain,7.7,0.007431697867171584,1203474
Britain,8.0,-0.08690242867110691,1241237
Britain,8.3,-0.00824312941504481,1597456
Britain,8.7,0.06168159976162158,1418756
Britain,9.0,0.024627537357103404,1050355
Britain,9.3,0.044884817187623605,912114
Britain,9.7,0.0238263272754154,523398
Britain,10.0,-0.030271933830196614,533476
Britain,10.3,0.013979770167814716,587228
Britain,10.7,-0.018623241919188724,740819
Britain,11.0,-0.00021581767419895758,778941
Britain,11.3,0.008367178786165013,839720
Britain,11.7,0.013776372387768023,844446
Britain,12.0,-0.027616485986217847,604704
Britain,12.3,0.09599334581878145,538911
Britain,12.7,0.17703915279044405,355543
Britain,13.0,0.21191294387170712,117021
China,1.0,0.2600026010351738,177147
China,1.3,0.23527857176476744,216211
China,1.7,-0.051457436415032747,258205
China,2.0,-0.2429609254112363,289922
China,2.3,0.142733043624647,239982
China,2.7,0.026349441591947666,252038
China,3.0,-0.029558456713338958,233506
China,3.3,-0.001188304622715206,324788
China,3.7,-0.06559550318356747,484326
China,4.0,0.0006464529697523752,532128
China,4.3,-0.0008809488617182899,528191
China,4.7,-0.11800588992150403,541159
China,5.0,0.009637621830771409,379180
China,5.3,0.07370197874018279,482646
China,5.7,0.2079370664218792,839030
China,6.0,-0.1105723732997114,893642
China,6.3,-0.024571414772355908,942497
China,6.7,-0.023775595382766176,889537
China,7.0,-0.02734879476961195,547976
China,7.3,0.013333442645479306,513572
China,7.7,-0.022244196729868194,689979
China,8.0,-0.07511704196002401,849599
China,8.3,0.009597772301118239,1169001
China,8.7,0.05772927714950172,1162335
China,9.0,0.04199193958925778,1098262
China,9.3,-0.013320829876700043,1051710
China,9.7,0.05649040309894513,719478
China,10.0,0.00920649345352335,867396
China,10.3,-0.10617241183321627,1338015
China,10.7,-0.05826062278149528,1964094
China,11.0,-0.005196613187524263,2203704
China,11.3,0.1404419730131025,2259853
China,11.7,0.07065677241274618,2033016
China,12.0,-0.07517216712865002,1635025
China,12.3,0.10917775974542299,1373859
China,12.7,0.30119120670505,1011963
China,13.0,0.39755586932177844,490585
France,1.0,0.11232949394766195,172183
France,1.3,0.14467669284375856,213747
France,1.7,-0.023315531712052997,241820
France,2.0,-0.07955232941386514,253887
France,2.3,-0.11179106934943848,247038
France,2.7,-0.1779154796955151,307623
France,3.0,-0.007457435156667877,336230
France,3.3,-0.003680614605325994,498432
France,3.7,-0.09905936993933179,508427
France,4.0,0.0009464169983083937,478822
France,4.3,0.08905091296124094,454347
France,4.7,0.051277168319201843,366063
France,5.0,0.029107324602889572,330562
France,5.3,0.013188107759715762,521835
France,5.7,0.0018739239580036222,717456
France,6.0,-0.0012935282986321084,749593
France,6.3,-0.049799330193056504,761776
France,6.7,0.008932061969282841,1195421
France,7.0,-0.09757744260561965,1146836
France,7.3,-0.011669798054576496,1479911
France,7.7,-0.04253276381255567,2035185
France,8.0,-0.06045888509944041,1553669
France,8.3,0.03479845273104024,1632644
France,8.7,-0.0691536350007297,1294475
France,9.0,0.0021928078524449997,892323
France,9.3,-0.04320631838105203,1061471
France,9.7,0.02489442414624393,838218
France,10.0,0.17997863192819222,853673
France,10.3,0.06421286798744931,782149
France,10.7,-0.22038778295640177,706264
France,11.0,0.04567992155806665,700975
France,11.3,0.21422181194334228,645635
France,11.7,0.15603620855290823,533816
France,12.0,-0.36316540826835403,543922
France,12.3,-0.04227283369323649,514230
France,12.7,0.6464603370705477,432239
France,13.0,1.0251094890510948,319316
Germany,1.0,0.5161521229038766,643792
Germany,1.3,-0.04597453078222027,816718
Germany,1.7,-0.013030935397879804,1002868
Germany,2.0,-0.06363652059900218,1133051
Germany,2.3,0.09303229075424585,1119152
Germany,2.7,0.1908986927842137,1260226
Germany,3.0,0.008740226695582647,1391019
Germany,3.3,0.2434243848521409,2457029
Germany,3.7,0.4324799185398123,3352572
Germany,4.0,0.06560685833764836,3513419
Germany,4.3,-0.23676377547076935,3310203
Germany,4.7,0.24810203112095766,2453973
Germany,5.0,0.038051368359626386,1435852
Germany,5.3,0.32031495579713953,2602773
Germany,5.7,0.32436248477090374,5782198
Germany,6.0,0.1426618972104528,6821797
Germany,6.3,-0.13113630172219906,7737712
Germany,6.7,-0.09847471827263198,8541177
Germany,7.0,-0.19608912169772394,5508654
Germany,7.3,-0.2169270458216567,5172416
Germany,7.7,-0.06628529526186815,5579938
Germany,8.0,0.45516989950013553,4352851
Germany,8.3,0.022019090776952417,5553082
Germany,8.7,-0.19754937349987825,5024063
Germany,9.0,-0.017922506687227908,4802104
