Vehicle,Country,BR,WinRate,Games,Victories,Defeats,BattleType,UnitClass,UnitMoveType
ussr_t_26_1940,Ussr,1.0,0.39409827541381404,360440,81855,125847,GRB,exp_tank,tank
ussr_bt_7_1937,Ussr,1.3,0.4392908490776178,725863,216935,276895,GRB,exp_tank,tank
ussr_t_50,Ussr,2.7,0.4602600655246827,690499,199207,233607,GRB,exp_tank,tank
us_m4a1_1942_sherman,Usa,3.3,0.46790417940876655,843143,229507,260993,GRB,exp_tank,tank
us_m3_lee,Usa,2.7,0.4343059156257365,385235,92138,120012,GRB,exp_tank,tank
p-26a_33,Usa,1.0,0.41171740379092475,48278,7168,10242,ARB,exp_fighter,air
p-26b_35,Usa,1.0,0.43779292714103113,42763,6165,7917,ARB,exp_fighter,air
ussr_t_34_1941_l_11,Ussr,3.3,0.4819412780319044,950390,296164,318359,GRB,exp_tank,tank
ussr_t_34_1942,Ussr,4.0,0.45971446137317895,1456104,438175,514971,GRB,exp_tank,tank
germ_pzkpfw_35t,Germany,1.0,0.447098976109215,380142,99167,122634,GRB,exp_tank,tank
germ_pzkpfw_III_ausf_B,Germany,1.0,0.44674203454333977,324675,91797,113684,GRB,exp_tank,tank
i-15_1935,Ussr,1.0,0.5095577543710323,152995,28736,27658,ARB,exp_fighter,air
i-15_1935_moscow,Ussr,1.0,0.48337429601137405,263003,43858,46875,ARB,exp_fighter,air
jp_type_98_ke_ni,Japan,1.0,0.4413960094948474,158936,46302,58597,GRB,exp_tank,tank
jp_type_89b_i_go_otsu,Japan,1.0,0.4124547569803516,109913,25526,36362,GRB,exp_tank,tank
ussr_t_34E_STZ,Ussr,4.0,0.4741578641672942,720910,214702,238105,GRB,exp_tank,tank
ussr_kv_1_L_11,Ussr,3.7,0.4667969396880072,935124,239598,273683,GRB,exp_heavy_tank,heavy_tank
uk_a_13_mk1,Britain,1.0,0.510365275142315,182506,64551,61929,GRB,exp_tank,tank
uk_a17_mk_1_tetrarch,Britain,1.0,0.5145180536527157,228821,81494,76895,GRB,exp_tank,tank
germ_pzkpfw_II_ausf_C,Germany,1.3,0.5080973423787888,148991,40818,39517,GRB,exp_tank,tank
germ_sdkfz_221_s_pz_b_41,Germany,1.0,0.49199781261392633,90899,26991,27869,GRB,exp_tank,wheeled_vehicle
germ_sturmpanzer_II,Germany,1.0,0.41942714433077644,556845,108156,149710,GRB,exp_tank_destroyer,tank
germ_panzerjager_1,Germany,1.3,0.47553827404097265,155222,40970,45185,GRB,exp_tank_destroyer,tank
us_m22_locust,Usa,2.0,0.43247818285094625,1018847,268005,351691,GRB,exp_tank,tank
germ_pzkpfw_38t_ausf_A,Germany,1.3,0.48320896777709743,281545,71815,76806,GRB,exp_tank,tank
germ_pzkpfw_III_ausf_F,Germany,1.3,0.4913846565089548,588943,183827,190273,GRB,exp_tank,tank
germ_pzkpfw_IV_ausf_C,Germany,1.3,0.4820736933567,433974,130937,140675,GRB,exp_tank,tank
p-36a_rasmussen,Usa,1.3,0.4356372409877945,31727,6139,7953,ARB,exp_fighter,air
germ_pzkpfw_III_ausf_J,Germany,2.7,0.43058857248832466,626052,153237,202641,GRB,exp_tank,tank
germ_stug_III_ausf_A,Germany,2.3,0.47481046891394624,125104,32129,35538,GRB,exp_tank_destroyer,tank
