Country,BR,Weighted,Count
Britain,1.0,0.4758263546115026,3796
Britain,1.3,0.33785403866327,6673
Britain,1.7,0.06094462787621329,8895
Britain,2.0,-0.008601173383136934,10938
Britain,2.3,-0.15747891557458377,19274
Britain,2.7,-0.016264218718818547,20044
Britain,3.0,-0.001018046324205402,22394
Britain,3.3,-0.027754812766609776,27728
Britain,3.7,0.01250945486975195,23961
Britain,4.0,0.06283619010209418,24011
Britain,4.3,0.033670724412717096,31910
Britain,4.7,0.07790931531650305,34811
Britain,5.0,0.014463628501849637,37666
Britain,5.3,0.07654051510262144,38426
Britain,5.7,-0.009660796149065159,30138
Britain,6.0,0.08029695872793015,22726
Britain,6.3,-0.06894837608761875,14694
Britain,6.7,0.04487903604276401,17266
Britain,7.0,0.0020109552372536074,16209
Britain,7.3,0.0038955929986614246,13860
Britain,7.7,0.02110440432578488,15638
Britain,8.0,0.11996845969807408,8549
Britain,8.3,0.3387403029805852,5351
Britain,8.7,0.5410924554331891,3971
Britain,9.0,0.5897435897435899,27
France,1.0,0.31901968002684733,4745
France,1.3,0.09279946070972575,6371
France,1.7,-0.0032027125940537714,7395
France,2.0,-0.009379828961486383,9527
France,2.3,-0.139895129456957,19390
France,2.7,0.08720484547251717,29156
France,3.0,-0.01200045356320644,43056
France,3.3,-0.0004303261654327245,51801
France,3.7,-0.025143867165983498,44701
France,4.0,-0.11944664878203633,37013
France,4.3,-0.0008691976919401388,30590
France,4.7,-0.012228820203457466,24343
France,5.0,0.003849885398760215,23814
France,5.3,0.03740539967507494,21968
France,5.7,0.13135918690301682,15421
France,6.0,0.030190740402556194,12556
France,6.3,-0.007154629308407747,9091
France,6.7,0.013465282464818299,13004
France,7.0,-0.011546317644771147,13018
France,7.3,0.021334400532329566,11703
France,7.7,0.03396688084313973,11143
France,8.0,0.0291267839223243,5349
France,8.3,0.5069706330916648,3268
France,8.7,0.7193815080762367,1884
France,9.0,0.5990188484379033,59
Germany,1.0,0.41291490563826555,8706
Germany,1.3,0.2161287657940634,11190
Germany,1.7,0.02745356932709274,15338
Germany,2.0,-0.049429459638093795,17485
Germany,2.3,0.24733400748056183,28461
Germany,2.7,0.06152614297650285,40130
Germany,3.0,-0.030320670162638508,50776
Germany,3.3,-0.026550888339391284,75991
Germany,3.7,0.02558915433764105,85652
Germany,4.0,0.005801054614526732,89086
Germany,4.3,-0.05519438479644138,121205
Germany,4.7,0.019100591612961224,117134
Germany,5.0,-0.0003246000999520165,118495
Germany,5.3,-0.06139557208457555,111349
Germany,5.7,0.11493805744469943,80742
Germany,6.0,-0.03575748962791591,73291
Germany,6.3,0.006135878007568412,54012
Germany,6.7,0.06335536061975568,77300
Germany,7.0,0.022053504565264365,72607
Germany,7.3,0.08402435706142126,64511
Germany,7.7,0.06412019653700074,71806
Germany,8.0,0.051073809792390526,38344
Germany,8.3,0.24896208283105842,26530
Germany,8.7,0.3707473809215992,17027
Germany,9.0,0.3753993610223638,422
Italy,1.0,0.5209058163299309,2606
Italy,1.3,0.38212427946453537,4031
Italy,1.7,0.013511438705367688,4886
Italy,2.0,-0.10300804181430068,5171
Italy,2.3,0.1364304399022304,6959
Italy,2.7,0.10117077674540824,8035
Italy,3.0,-0.031358116341938164,12152
Italy,3.3,0.07416101473252054,19527
Italy,3.7,-0.0025217715585920362,21294
Italy,4.0,0.06316468277760458,22140
Italy,4.3,-0.0312979784511117,24030
Italy,4.7,-0.0008150432469567589,19778
Italy,5.0,-0.009001014372797789,17769
Italy,5.3,0.07118365978486205,16916
Italy,5.7,-0.01818155693661707,12214
Italy,6.0,0.05444715490883393,10624
Italy,6.3,-0.0002575797322143243,9482
Italy,6.7,0.01776151806107589,9769
Italy,7.0,-0.03853095161215925,8512
Italy,7.3,-0.01373742115653129,7224
Italy,7.7,-0.009708669659353493,6189
Italy,8.0,-0.00812977995230854,3519
Italy,8.3,-0.10623796287356384,2564
Italy,8.7,0.3639918520417281,1511
Italy,9.0,0.3811446212301117,136
Japan,1.0,0.4136580772334036,7391
Japan,1.3,0.45971753475785393,10587
Japan,1.7,-0.008818467486019664,13044
Japan,2.0,0.03391155922515087,12596
Japan,2.3,0.14704036535461174,17265
Japan,2.7,0.1807007373111809,21720
Japan,3.0,-0.023254692256032782,32159
Japan,3.3,0.08102688265121971,52109
Japan,3.7,0.034059917074022845,53224
Japan,4.0,-0.04500325661462453,55833
Japan,4.3,0.04785759284022892,72065
Japan,4.7,0.15636987685495984,78201
Japan,5.0,0.02354753932035556,97412
Japan,5.3,-0.020860815310475393,96048
Japan,5.7,0.018825320798869064,75885
Japan,6.0,0.028299426064213328,60262
Japan,6.3,0.0011118081384951385,37711
Japan,6.7,0.05546306033802413,52745
Japan,7.0,0.0697749983291307,60818
Japan,7.3,-0.028288488975640496,54976
Japan,7.7,-0.023044366924562253,70355
Japan,8.0,-0.02778748776783557,46970
Japan,8.3,-0.09529799667857937,29835
Japan,8.7,-0.4041718568721591,23791
Japan,9.0,-0.40971718636693244,644
Usa,1.0,0.6522543490552424,8245
Usa,1.3,0.4174005251675825,13424
Usa,1.7,0.06777597456165349,18125
Usa,2.0,-0.0176130657043067,20136
Usa,2.3,0.09467109236555879,36405
Usa,2.7,0.13452408702559765,47440
Usa,3.0,0.058472658168941476,67967
Usa,3.3,0.0469891377402516,98290
Usa,3.7,0.007170105813041398,91130
Usa,4.0,-0.024175645829689108,84296
Usa,4.3,0.005534872788872406,103229
Usa,4.7,0.09573671593833849,116238
Usa,5.0,-0.09378523866855001,156789
Usa,5.3,0.00451754846421659,170810
Usa,5.7,-0.08500710338499703,148761
Usa,6.0,-0.06513742839454348,121473
Usa,6.3,-0.021265668175232545,84458
Usa,6.7,0.14900943357454305,100280
Usa,7.0,-0.00023681888701422696,87763
Usa,7.3,-0.037294450128265204,72876
Usa,7.7,-0.06804233704129727,73919
Usa,8.0,-0.011321749123157317,35146
Usa,8.3,-0.13410960302360364,25473
Usa,8.7,0.09170720399193505,20433
Usa,9.0,0.09288917360666282,520
Ussr,1.0,0.41893118733002305,10062
Ussr,1.3,0.37702762304588583,14807
Ussr,1.7,0.005768222527575419,18720
Ussr,2.0,-0.02801952969590025,20861
Ussr,2.3,0.13203769167584328,30036
Ussr,2.7,0.01473242347166038,34971
Ussr,3.0,0.007688465573464583,43902
Ussr,3.3,0.05793682304299725,64506
Ussr,3.7,0.05640649308217445,60682
Ussr,4.0,-0.02682264490184198,63822
Ussr,4.3,0.012089563133371483,86632
Ussr,4.7,0.06556149503548987,82898
Ussr,5.0,0.003675396324323128,99558
Ussr,5.3,0.147657299258006,97183
Ussr,5.7,0.018270153000944377,73802
Ussr,6.0,0.028275316274438845,64714
Ussr,6.3,-0.0014227523053624836,45407
Ussr,6.7,0.024628393179472862,60335
Ussr,7.0,-0.004486570305270273,55426
Ussr,7.3,0.11578235451203335,47776
Ussr,7.7,0.0001747946703856981,51316
Ussr,8.0,5.2157080082030426e-05,26363
Ussr,8.3,0.15245042341922366,18796
Ussr,8.7,0.8221838595611093,14677
Ussr,9.0,0.8380576780872562,556
