Country,1.0,1.3,1.7,2.0,2.3,2.7,3.0,3.3,3.7,4.0,4.3,4.7,5.0,5.3,5.7,6.0,6.3,6.7,7.0,7.3,7.7,8.0,8.3,8.7,9.0,9.3,9.7,10.0,10.3,10.7,11.0,11.3,11.7,12.0,12.3,12.7,13.0,13.3,13.7,14.0
Britain,0,1570,23318,185025,84679,39730,17184,126833,51047,27661,91574,59554,96224,42217,33319,38332,56628,16685,17519,4807,3786,6416,8266,9592,5547,6240,5599,5065,4663,3340,1639,3648,5480,7385,11068,6813,1612,1444,534,6067
China,0,1835,22665,156843,54240,61264,19726,101991,37016,41732,63574,65911,94450,24506,10518,16902,17179,5655,12823,2680,3380,5195,9714,9236,5812,6788,5272,8472,12193,10994,5976,12717,13872,5295,3243,1379,1623,5529,6147,30199
France,0,965,15308,129031,65948,65079,21003,64824,53088,35375,39487,24702,58391,17778,7811,10441,16102,4128,7169,2242,1668,2235,4080,3800,3217,5392,4190,5272,3892,2618,994,1662,3829,6923,13468,11296,2519,2317,1163,12597
Germany,1,4512,66918,574454,372573,274019,114615,457589,190408,115972,268370,122142,340050,127823,84892,83111,134855,35669,50989,19519,12081,12335,11454,10089,9213,17026,17412,21134,14577,7686,5216,13083,19935,13792,16833,10249,3494,7053,7470,16323
Israel,0,0,0,0,0,0,0,8077,4391,10629,21274,6396,14594,5733,3997,5440,4555,81,845,930,2105,2432,2541,1834,1045,2089,2249,3003,2006,1042,618,1338,2543,1912,3297,3813,2253,4338,2895,8407
Italy,0,456,6975,59400,36446,34634,11524,26695,10781,7861,18219,11051,21888,8301,7366,8213,10073,2631,2010,1180,386,928,2018,2520,2303,2916,2283,1759,1085,910,854,2311,3094,2454,3465,2099,782,1437,811,2470
Japan,0,1821,24392,181790,73694,62491,19504,97097,47698,39046,105995,68497,95803,51946,40365,37343,37336,13069,10772,6125,6136,5147,7740,5147,2911,3599,3331,5041,6218,4645,2300,5083,6887,5313,8098,5572,2043,4182,4260,10699
Sweden,0,1394,18989,148019,85578,54180,13358,65207,44755,29803,40949,34762,52565,14881,9856,26392,29302,1797,5016,4074,4785,5652,6372,7050,4348,5657,5203,5941,4747,4067,2188,4500,4919,2217,546,4561,2512,5122,4257,10502
Usa,3,7330,93629,782397,462348,311560,130861,855731,347615,186696,496035,444253,816693,234668,168021,104452,91934,53778,72298,43469,51657,43562,43145,51165,28771,37634,60662,89896,89114,58818,18726,40999,63530,74360,145789,91684,28196,46031,26472,89842
Ussr,0,3549,50812,412184,272837,208440,88887,468147,187223,215645,332894,180176,318442,132453,62599,60289,106474,31607,46501,13608,13772,18189,22107,21362,15533,21146,19406,17117,14833,11911,6352,21757,39966,31173,51242,24888,7477,22926,21738,114850
